"Bucket_Level0","Bucket_Level1","Bucket_Level2","Bucket_Level3","Short_Name","Long_Name","Data_Center_URL","UUID"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/EDU/CORE","Central Operation of Resources for Educators, Education Division, NASA","http://core.nasa.gov/","04edec6b-1dc4-4670-a31d-0efdfaf514a3"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/EDU/SL/ERCN","Educator Resource Center Network, Space Link, Education Division, NASA","http://spacelink.nasa.gov/ercn/","6683a39a-33b9-48ee-8b91-2bac242291e8"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/EDU/SL","Space Link, Education Division, NASA","http://spacelink.nasa.gov/","de400eed-16f4-4a70-ad09-ddccaf2af443"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/HQ/LOE","Life on Earth, Head Quarters, National Aeronautics and Space Administration","https://www.nasa.gov/topics/earth/index.html","9bd523d9-087f-4631-8eab-21221c5d74b0"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/JSC/ARES","NASA Johnson Space Center","https://curator.jsc.nasa.gov/antmet/index.cfm","2b1b9db6-c1fa-4eec-9c2c-456b794442c1"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/JSC/CEO/ESRS","Earth Science and Remote Sensing (ESRS), NASA JSC Crew Earth Observations (CEO), Earth Sciences and Image Analysis, Johnson Space Center, NASA","https://eol.jsc.nasa.gov/","aa24406d-d97a-4157-a834-d21b2c6c0873"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/MSFC/AMSR SIPS/LANCE","Advanced Microwave Scanning Radiometer Science Investigator-led Processing System - Land Atmosphere Near real-time Capability for EOS","https://lance.nsstc.nasa.gov/","2f4442c9-140d-48ee-8d5a-30d131204796"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/MSFC/AMSR-E SIPS","Advanced Microwave Scanning Radiometer - Earth Observing System Science Investigator-led Processing System","https://weather.msfc.nasa.gov/AMSR/","35148f60-6232-483b-b3b0-f3efbd91d3de"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/MSFC/GHCC/LAER","Lightning and Atmospheric Electricity Research, Global Hydrology and Climate Center, Marshall Space Flight Center, NASA","https://lightning.nsstc.nasa.gov/","06662b5c-4b09-4fbd-829f-aecef917dfe5"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/MSFC/GHCC","Global Hydrology and Climate Center, Marshall Space Flight Center, NASA","https://weather.msfc.nasa.gov/","69e19bdc-2aad-47f9-9246-746a69d1981e"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/MSFC/GHRC/DISCOVER","Distributed Information Services for Climate and Ocean Products and Visualizations for Earth Research/Global Hydrology Resource Center, Marshall Space Flight Center, NASA","https://ghrc.nsstc.nasa.gov/home/projects/discover","be9f9e7f-1241-4eee-8370-5bd72b2c0ce6"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/MSFC/GHRC/LANCE","Global Hydrology Resource Center, Marshall Space Flight Center, NASA - Land Atmosphere Near real-time Capability for EOS","https://lance.nsstc.nasa.gov/","9b194e6c-f499-43bf-9060-0adcb45e4f6d"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/MSFC/GHRC","Global Hydrology Resource Center, Marshall Space Flight Center, NASA","https://ghrc.nsstc.nasa.gov/home/","da0a888d-cf97-45f5-99b3-6de866832935"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/MSFC/LIFTOFF","Liftoff,  Marshall Space Flight Center, NASA","http://liftoff.msfc.nasa.gov/","4d4db62b-2452-4427-821c-7aedd7df6313"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/MSFC/NSSTC","National Space Science and Technology Center, Marshall Space Flight Center, NASA","https://www.nasa.gov/centers/marshall/scienceandtechnology/nsstc.html","59bf21d2-1183-44d2-b78c-85d50c57b097"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/MSFC/SEE","Space Environments and Effects Program, Marshall Space Flight Center, NASA","https://see.msfc.nasa.gov/","f95d6d1c-a73c-4121-b4b7-f5f5e922b280"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/MSFC/SPB","Solar Physics Branch, Marshall Space Flight Center, NASA","https://solarscience.msfc.nasa.gov/","118a1a96-3699-4656-9c85-ac6d4eb0e0c5"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/SCIENCE/KIDS","NASA Science for Kids,National Aeronautics and Space Administration","http://nasascience.nasa.gov/kids","f42ccad4-e010-439f-9717-c732dfa8c397"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/SMD/EARTH/DECADAL SURVEY","Earth Sciences Division, Science Mission Directorate, NASA","https://science.nasa.gov/earth-science/decadal-surveys/","7746fd55-ca67-4595-be96-5a8c63c5e790"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/SSC/ASD","Applied Sciences Directorate, Stennis Space Center, NASA","http://www.asd.ssc.nasa.gov/","77615f9c-9a3b-4895-b51c-f5adbcfcaad6"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/SSC/OED","Office of Education, Stennis Space Center, NASA","http://education.ssc.nasa.gov/","a1b99f05-3bd8-446f-9f8c-b30c7c226acd"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","NASA/STEREO-SSC","Stereo Science Center, NASA","https://stereo-ssc.nascom.nasa.gov/","a014021c-5636-4388-85d4-ff8dc25e3853"
